Date,Open,High,Low,Close,Volume,Adj Close,TR,ATR,DM+1,DM-1,TR14,DM+14,DM-14,DI+14,DI-14,DI 14 Diff,DI 14 sum,DX,ADX,12 day SMA,12 day constant,12 day EMA,9 day SMA,9 day constant,9 day EMA,26 day SMA,26 day constant,26 day EMA,20 day SMA,20 day constant,20 day EMA,MACD,MACD SIGNAL,MACD Diff,TP,TP SMA 20,mean deviation,CCI,20 SMA,ST dev,Upper BB,Lower BB,bandwidth,KC Upper,KC lower,KC width,BB<KC,CCI cross,CCI above,DI cross,DI above,MA cross,MA above,CCI 3 cross,DI 3 cross,MA 3 cross,price>kc,Buy,Buy 2,Buy 3,Buy 4,modified 4,Modified count,sell,sell 2,sell 3,PRICE IN,Price in 2,Price in 3,Price in 4,PRICE OUT,Price out 2,Price out 3,1&4,4,2 & 4,"1,3,4",Sums,strength,uptrend 5,Volume,volume +
4/6/1983,20.43,20.61,19.83,19.83,84800,2.61,,,,,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,20.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,71,strong,,90448.35165,0
4/7/1983,20,20.09,19.74,19.74,23200,2.6,0.35,,0,0.09,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,19.85666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,65,med/weak,,90301.0989,0
4/8/1983,20,20.09,19.83,20.09,74400,2.65,0.35,,0,0,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,20.00333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,71,,,90325.27473,0
4/11/1983,20.61,21.13,20.35,21.13,68800,2.78,1.04,,1.04,0,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,20.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,super strong,,90176.92308,0
4/12/1983,21.13,21.82,21.13,21.82,54400,2.88,0.69,,0.69,0,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,21.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,1,90182.41758,0
4/13/1983,21.99,22.08,21.91,22.08,48000,2.91,0.26,,0.26,0,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,22.02333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,1,90167.03297,0
4/14/1983,21.91,21.91,21.47,21.65,75200,2.85,0.61,,0,0.44,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,21.67666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,1,90069.23077,0
4/15/1983,21.47,21.56,20.95,20.95,108400,2.76,0.7,,0,0.52,,,,,,,,,,,0.153846154,,,0.2,,,0.074074074,,,0.095238095,,,,,21.15333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,89932.96703,1
4/18/1983,21.02,21.36,20.76,21.36,95200,2.83,0.6,,0,0.19,,,,,,,,,,,0.153846154,,20.96111111,0.2,20.96111111,,0.074074074,,,0.095238095,,,,,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,89886.81319,1
4/19/1983,21.36,21.62,21.1,21.54,52000,2.85,0.52,,0.26,0,,,,,,,,,,,0.153846154,,21.15111111,0.2,21.07688889,,0.074074074,,,0.095238095,,,,,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,89660.43956,0
4/20/1983,21.36,21.62,21.36,21.54,80800,2.85,0.26,0.538,0,0,,,,,,,,,,,0.153846154,,21.35111111,0.2,21.16951111,,0.074074074,,,0.095238095,,,,,21.50666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,89587.91209,0
