"state.index","resources.allocated","latency"
1,3330.01024316342,366
1,0,242
1,0,54
1,0,5
1,0,46
1,0,56
1,0,184
2,3266.08510391064,369
2,3258.08733994714,434
2,0,34
2,0,29
2,0,195
2,0,58
2,0,41
2,0,38
2,0,88
3,0,205
3,0,258
3,0,48
3,0,31
3,0,273
3,0,91
3,0,140
3,0,213
3,0,38
3,0,81
4,0,19
4,0,207
4,0,178
4,0,128
4,0,123
4,0,24
4,0,221
4,0,59
4,0,96
4,0,99
4,0,166
5,0,42
5,0,23
5,0,43
5,0,193
6,0,259
6,0,22
6,0,109
6,0,92
6,0,160
6,0,45
6,0,260
6,0,257
6,0,24
6,0,29
7,0,113
7,2814.15190814952,443
7,0,115
7,0,42
7,0,70
7,0,36
7,0,41
8,0,114
8,0,38
8,0,78
8,0,62
8,0,158
8,0,40
9,0,50
9,0,25
9,0,83
9,0,41
9,0,131
9,0,57
10,0,42
10,0,217
10,0,191
10,0,20
10,0,75
10,0,29
10,0,73
10,0,274
10,0,165
11,0,18
11,0,60
11,0,38
11,0,42
12,0,38
12,0,75
12,0,75
12,0,85
12,0,146
12,0,114
12,0,60
13,0,48
13,0,24
13,0,92
13,2471.64909163189,539
13,0,181
13,0,47
14,0,124
14,0,26
14,0,21
14,0,92
15,0,45
15,0,101
15,0,37
15,0,164
15,0,199
16,0,166
16,0,45
16,0,3
16,0,4
17,0,24
17,0,211
17,0,3
17,0,58
17,0,181
17,0,23
17,0,34
18,0,9
18,0,67
18,0,45
18,0,136
18,0,33
18,0,24
19,0,16
19,0,74
19,0,264
20,0,59
20,0,90
20,0,110
20,0,56
20,0,18
20,0,127
21,0,61
21,2175.55520741886,371
21,0,49
21,0,61
21,0,253
21,0,138
21,0,89
21,0,131
21,0,96
21,0,51
22,0,6
22,0,125
23,0,189
23,0,33
23,0,5
23,0,77
23,0,161
23,0,166
23,0,14
23,0,207
24,0,80
24,0,34
24,0,15
24,0,193
24,0,25
25,0,80
25,0,231
25,0,61
25,0,53
25,0,73
25,0,159
25,0,265
25,0,41
26,0,40
26,0,59
26,1956.14147967855,474
26,0,134
26,0,73
26,0,301
27,0,3
27,0,28
27,0,26
27,0,40
27,0,117
27,0,24
27,0,40
28,0,70
28,0,4
28,0,38
28,0,48
28,0,122
28,0,39
29,0,249
29,0,73
29,0,42
29,0,96
29,0,15
29,0,48
29,0,196
29,1839.88750729356,415
30,0,106
30,0,122
30,0,147
30,0,119
30,0,4
30,1792.11681006412,394
30,0,318
30,0,121
31,0,187
31,0,37
31,0,110
31,0,42
32,0,33
32,1745.8923787362,532
32,0,40
32,0,245
32,0,83
32,0,50
32,0,3
32,0,38
33,0,279
33,0,40
33,0,4
33,0,36
33,0,103
33,0,64
34,0,77
34,0,123
34,0,123
34,0,138
34,0,73
35,0,88
35,0,23
35,0,26
35,1660.30118759644,486
35,0,61
35,0,215
35,0,177
35,0,126
35,0,38
36,0,0
36,0,0
36,0,0
36,0,0
36,0,0
36,0,0
37,0,52
37,0,60
37,0,24
37,0,22
38,0,0
38,0,0
38,0,0
38,0,0
38,0,0
38,0,0
38,0,0
39,0,38
39,0,161
39,0,51
39,0,36
39,0,161
39,0,278
39,0,229
40,0,0
40,0,0
40,0,0
40,0,0
40,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
41,0,0
42,1599.13067782299,348
42,0,104
42,0,22
42,0,34
42,0,185
42,0,50
42,0,61
42,0,20
43,0,0
43,0,0
43,0,0
43,0,0
43,0,0
43,0,0
44,0,0
44,0,0
44,0,0
44,0,0
44,0,0
44,0,0
44,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
45,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
46,0,0
47,0,162
47,0,44
47,0,37
47,0,193
47,0,77
48,0,0
48,0,0
48,0,0
48,0,0
48,0,0
48,0,0
48,0,0
49,1584.67305203652,582
49,0,36
49,0,123
50,0,77
50,0,3
50,0,72
50,0,32
50,0,166
50,0,32
50,0,24
50,0,36
50,0,154
50,0,31
51,0,0
51,0,0
51,0,0
51,0,0
52,0,0
52,0,0
52,0,0
52,0,0
52,0,0
52,0,0
52,0,0
53,0,70
53,0,34
53,0,62
53,0,47
53,0,56
53,0,105
54,0,0
54,0,0
54,0,0
54,0,0
54,0,0
54,0,0
54,0,0
54,0,0
55,0,0
55,0,0
55,0,0
55,0,0
56,0,124
56,0,143
56,0,82
56,0,146
56,0,47
56,0,57
57,0,0
57,0,0
57,0,0
57,0,0
57,0,0
57,0,0
58,0,0
58,0,0
58,0,0
58,0,0
58,0,0
58,0,0
58,0,0
58,0,0
59,0,70
59,0,164
59,0,82
59,0,99
59,0,137
59,0,27
59,0,39
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
60,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
61,0,0
62,0,154
62,0,73
62,0,32
62,0,59
62,0,53
62,0,25
62,0,295
62,0,49
63,0,0
63,0,0
63,0,0
64,0,0
64,0,0
64,0,0
64,0,0
64,0,0
64,0,0
64,0,0
65,0,0
65,0,0
65,0,0
65,0,0
65,0,0
65,0,0
65,0,0
65,0,0
66,0,55
66,0,269
66,0,168
66,0,112
66,0,24
66,0,41
66,0,10
66,0,109
66,0,54
66,0,46
67,0,0
67,0,0
67,0,0
67,0,0
67,0,0
67,0,0
67,0,0
68,0,0
68,0,0
68,0,0
68,0,0
68,0,0
68,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
69,0,0
70,0,0
70,0,0
70,0,0
70,0,0
70,0,0
70,0,0
70,0,0
70,0,0
70,0,0
71,0,33
71,0,111
71,0,74
71,1469.17957918097,557
71,0,28
71,0,142
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
72,0,0
73,0,159
73,0,178
73,0,213
73,0,90
73,0,23
74,0,0
74,0,0
74,0,0
74,0,0
74,0,0
74,0,0
74,0,0
75,0,0
75,0,0
75,0,0
75,0,0
75,0,0
75,0,0
76,0,30
76,0,64
76,0,123
76,0,171
76,0,60
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
77,0,0
78,0,39
78,0,32
78,0,88
78,0,130
78,0,45
78,0,45
78,0,60
78,1435.03957319354,460
78,0,48
78,1432.75157933823,289
79,0,0
79,0,0
79,0,0
79,0,0
79,0,0
