Date,Open,High,Low,Close,Volume,Adj Close
2015-09-10,189.40,189.95,184.85,185.55,24898000,185.55
2015-09-09,192.25,193.40,190.788,191.20,15741700,191.20
2015-09-08,187.50,190.85,186.40,189.00,22577400,189.00
2015-09-07,189.60,189.60,183.838,185.95,23882800,185.95
2015-09-04,188.00,188.56,185.95,185.95,20878800,185.95
2015-09-03,186.80,190.80,186.60,189.55,36099500,189.55
2015-09-02,185.40,188.20,184.60,184.85,29703500,184.85
2015-09-01,189.55,190.40,183.50,185.40,32029200,185.40
2015-08-31,191.35,191.35,191.35,191.35,000,191.35
2015-08-28,191.40,191.963,187.525,191.35,25776000,191.35
2015-08-27,190.60,192.50,186.70,191.45,31360700,191.45
2015-08-26,184.60,189.20,182.50,186.20,26348600,186.20
2015-08-25,183.00,188.20,183.00,186.00,34432300,186.00
2015-08-24,182.60,185.95,175.85,181.10,49282600,181.10
2015-08-21,191.80,194.75,188.20,188.20,25642800,188.20
2015-08-20,193.60,195.90,191.00,193.70,21736200,193.70
2015-08-19,198.25,198.65,194.60,194.75,28208500,194.75
2015-08-18,201.65,202.90,198.30,198.60,22125000,198.60
2015-08-17,204.25,204.35,201.20,202.20,9455400,202.20
2015-08-14,202.45,205.50,201.85,202.65,28427400,202.65
2015-08-13,205.95,207.25,202.00,202.00,28892800,202.00
2015-08-12,205.65,210.267,202.80,204.15,38946300,204.15
2015-08-11,212.15,212.984,209.55,209.55,16789700,209.55
2015-08-10,216.55,216.95,210.95,212.75,20547900,212.75
2015-08-07,218.85,219.367,215.80,215.80,17197000,215.80
2015-08-06,214.95,221.90,214.398,218.90,25790000,218.90
2015-08-05,210.55,218.00,210.55,215.40,26373500,215.40
2015-08-04,210.60,213.20,209.75,210.70,14296000,210.70
2015-08-03,214.70,215.65,210.80,211.60,17456300,211.60
2015-07-31,215.75,215.75,211.119,215.70,19347800,215.70
2015-07-30,213.40,215.337,212.793,214.65,16010900,214.65
2015-07-29,213.10,214.45,211.50,213.00,14332900,213.00
2015-07-28,215.25,215.35,211.65,212.40,21805200,212.40
2015-07-27,217.70,218.721,213.05,214.30,15451900,214.30
2015-07-24,218.80,220.55,218.25,219.00,20221600,219.00
2015-07-23,220.35,222.20,218.386,219.60,11889700,219.60
2015-07-22,220.45,221.85,218.50,219.00,24069400,219.00
2015-07-21,218.50,222.30,217.55,221.60,20743500,221.60
2015-07-20,217.25,219.75,216.85,218.60,8830900,218.60
2015-07-17,218.05,220.119,217.256,218.05,13450300,218.05
2015-07-16,217.70,218.65,216.85,217.65,17770200,217.65
2015-07-15,216.55,218.75,214.70,217.10,23884300,217.10
2015-07-14,213.35,216.60,212.55,216.45,18216900,216.45
2015-07-13,209.80,213.05,208.80,212.50,15624600,212.50
2015-07-10,208.70,209.00,206.45,207.75,19133400,207.75
2015-07-09,202.10,206.00,200.50,206.00,33909600,206.00
2015-07-08,203.15,205.863,201.50,201.90,25480100,201.90
2015-07-07,207.10,207.10,199.60,200.65,20329700,200.65
2015-07-06,205.30,207.70,204.60,205.25,14991000,205.25
2015-07-03,208.85,211.15,206.00,207.40,13095300,207.40
2015-07-02,209.95,211.53,208.304,209.55,19045200,209.55
2015-07-01,213.80,214.20,209.30,209.60,27151900,209.60
2015-06-30,217.50,217.80,212.00,212.55,30985300,212.55
